entity_id,paper_id,doi,source_label,canonical_name,canonical_smiles,inchikey,molecular_formula,confidence_tier,identity_status,identity_channel,source_evidence_id,source_location,rendered_page_path,source_detection_count,external_query_name,external_pubchem_cid,external_inchikey,crosscheck_basis,scientific_use_boundary
SRCENT-441e8995fec6cb3ac9,zotero_B6B7CEZ3,10.1021/acsapm.0c01291,thioxanthone,thioxanthone,O=c1c2ccccc2sc2ccccc12,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,C13H8OS,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-d9ff231ac508d288,PDF page 10; embedded-text characters 417-429,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\zotero_B6B7CEZ3\page_0010.png,0,thioxanthone,10295,YRHRIQCWCFGUEQ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-55efe70bc7aaa04397,zotero_PJQEIM6F,10.1021/acsapm.4c00932,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-b9fe32597fed8634,PDF page 1; embedded-text characters 3011-3023,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\zotero_PJQEIM6F\page_0001.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-f27d56ceabfdb6d312,ZPC-000012,10.1021/acsmacrolett.7b00499,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-57b91883eb8c80ae,PDF page 1; embedded-text characters 3005-3017,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000012\page_0001.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-21700b578a5474d009,ZPC-006011,10.1021/ma500612x,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-8009ba11d6665d63,PDF page 1; embedded-text characters 2316-2328,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-006011\page_0001.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-c6573ab8ebe3654d8f,ZPC-002625,10.1021/ma5006793,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-15124fa86509f95b,PDF page 1; embedded-text characters 4295-4309,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-002625\page_0001.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-660ebad909577b4346,zotero_XAY2YYCX,10.1021/ma9007785,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-7d786e78fcc6c9f6,PDF page 6; embedded-text characters 1363-1375,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\zotero_XAY2YYCX\page_0006.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-0d4562c4e63a81d0b5,ZPC-005809,10.1021/ma900887h,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-1d63fbf1e400138b,PDF page 1; embedded-text characters 1675-1687,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-005809\page_0001.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-56af512470e500b83e,ZPC-000052,10.1038/17989,benzophenone,benzophenone,O=C(c1ccccc1)c1ccccc1,RWCCWEUUXYIKHB-UHFFFAOYSA-N,C13H10O,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-d64d4847be33d6ea,PDF page 2; embedded-text characters 4351-4363,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000052\page_0002.png,0,benzophenone,3102,RWCCWEUUXYIKHB-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-4e1bd912da615cd61a,ZPC-001953,10.1038/s41598-017-17391-1,Irgacure 2959,1-[4-(2-hydroxyethoxy)-phenyl]- 2-hydroxy-2-methyl-1-propane-1-one,CC(C)(O)C(=O)c1ccc(OCCO)cc1,GJKGAPPUXSSCFI-UHFFFAOYSA-N,C12H16O4,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-2c7ab39b24322f19,PDF page 6; embedded-text characters 3653-3666,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-001953\page_0006.png,0,1-[4-(2-hydroxyethoxy)-phenyl]- 2-hydroxy-2-methyl-1-propane-1-one,86266,GJKGAPPUXSSCFI-UHFFFAOYSA-N,explicit_source_local_name_expansion_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-e680f9cca3dca8eeaa,ZPC-000711,10.1039/c9py01819k,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-262eccde8a5b0d43,PDF page 2; embedded-text characters 2358-2372,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-000711\page_0002.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-9ca189575d9369b112,ZPC-004826,10.1117/12.634627,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-2fe7e6871c81c0ab,PDF page 1; embedded-text characters 413-427,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\ZPC-004826\page_0001.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-36fddb71483439dfd5,zotero_AU74BQZ6,10.37188/lam.2023.004,camphorquinone,camphorquinone,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem,TXTID-eeae806c0224cfc9,PDF page 11; embedded-text characters 6001-6015,LOCAL_SOURCE_ROOT_REDACTED\outputs\literature_kb_source_text_identity_recovery_20260906\source_pages\zotero_AU74BQZ6\page_0011.png,0,camphorquinone,25208,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,exact_unambiguous_common_name_in_source_plus_pubchem,"Molecular identity linkage only; not evidence for experimental values, model performance, screening outcomes, or simulation inputs."
SRCENT-90e15f63df794f3e59,ZPC-000031,10.1021/acs.macromol.7b00089,OXE01,OXE01,CCCCCC/C(=N\OC(=O)c1ccccc1)C(=O)c1ccc(Sc2ccccc2)cc1,LOCXTTRLSIDGPS-AZPGRJICSA-N,C27H27NO3S,A_auto,automatic_closed_repeated_strict_panel_structure,repeated_strict_source_panels,PANELSTR-7b9c0621998444d068,"PDF page 4; structure bbox (981, 310, 1432, 588); label bbox (1147, 559, 1237, 581) | PDF page 5; structure bbox (884, 419, 1276, 659); label bbox (1029, 636, 1106, 655) | PDF page 7; structure bbox (415, 332, 811, 572); label bbox (571, 531, 649, 551)",outputs\literature_kb_source_structure_refinement_batch2_20260906\source_pages\ZPC-000031\page_0004.png,3,,,,at_least_two_independent_strict_panel_detections_agree,"Molecular identity linkage only; not evidence for experimental numerical values, model performance, screening outcomes, or simulation inputs."
