link_id,record_id,cluster_id,paper_id,doi,entity_id,entity_type,molecule_id,preferred_name,matched_alias,match_start,match_end,match_basis,link_confidence,link_scope,ambiguity_status,link_status,resolved_canonical_smiles,resolved_inchikey,resolved_molecular_formula,identity_resolution_tier,identity_resolution_status,identity_resolution_source
ELINK-75c940ed5f648d2188,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-c123af975c8b,existing_molecule,MOL-c123af975c8b,M2CMK,M2CMK,560,565,exact_alias_in_evidence_anchor,source_scoped_name_exact,source_scoped,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-ab60193b3b9a51a0a6,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-c420d96562b1,existing_molecule,MOL-c420d96562b1,3BTrz,3BTrz,28,33,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-e510737375617c78ac,UKB-7bc805a50edc3f6aa126,CONDCL-71736c474c4424090a,OA2P-000226,10.1038/s41598-018-35301-x,MOL-c420d96562b1,existing_molecule,MOL-c420d96562b1,3BTrz,3BTrz,426,431,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-f57070e2ca2f595f30,UKB-7bcb1d7b4f1e38fee717,CONDCL-fded80ea4da7fbee1a,ZPC-000028,10.1021/ma9007785,MOL-c71bf0ae480a,existing_molecule,MOL-c71bf0ae480a,B3K,B3K,110,113,exact_alias_in_evidence_anchor,source_scoped_name_exact,source_scoped,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-791ce16df162be1046,UKB-7bcb1d7b4f1e38fee717,CONDCL-fded80ea4da7fbee1a,ZPC-000028,10.1021/ma9007785,SRCENT-ff08161ddda7a22153,source_local_unresolved,,TPIP,TPIP,851,858,source_local_PI_label_pattern,source_local_label_candidate,single_source_only,identity_unresolved,unresolved_entity_link,,,,,,
ELINK-afb08a1a3d606c2fd8,UKB-7be427c53fa4118f3a09,CONDCL-41491748d90d29a543,zotero_DV89B7W8,10.2217/rme.13.60,SRCENT-e06f67ba5177f4133a,source_local_unresolved,,Irgacure 2959,Irgacure 2959,323,336,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CC(C)(O)C(=O)c1ccc(OCCO)cc1,GJKGAPPUXSSCFI-UHFFFAOYSA-N,C12H16O4,A_alias_consensus,cross_source_trade_name_consensus_accepted,cross_source_trade_name_consensus
ELINK-ac0120892a5b7d98b7,UKB-7c327bb0e24ca86fe96a,CONDCL-1698681d3dda28c617,zotero_DV89B7W8,10.2217/rme.13.60,MOL-63120fab18fb,existing_molecule,MOL-63120fab18fb,Irgacure 369,Irgacure 369,380,392,exact_alias_in_evidence_anchor,global_name_exact_candidate,global_exact_name,unique_exact_span,candidate_identity_link_not_source_structure_confirmation,,,,,,
ELINK-51cf8d468dd0fcccc7,UKB-7c327bb0e24ca86fe96a,CONDCL-1698681d3dda28c617,zotero_DV89B7W8,10.2217/rme.13.60,SRCENT-e06f67ba5177f4133a,source_local_unresolved,,Irgacure 2959,Irgacure 2959,519,532,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CC(C)(O)C(=O)c1ccc(OCCO)cc1,GJKGAPPUXSSCFI-UHFFFAOYSA-N,C12H16O4,A_alias_consensus,cross_source_trade_name_consensus_accepted,cross_source_trade_name_consensus
ELINK-37f5c001422cb71de5,UKB-7c45d83b5cf5d75fb8f1,CONDCL-70ff3c4265ef3a1fe0,ZPC-000285,10.1016/j.porgcoat.2020.105546,SRCENT-973108374789b87a33,source_local_unresolved,,Irgacure 184,Irgacure 184,810,822,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,A_text_crosschecked,source_local_identity_accepted,source_text_plus_pubchem
ELINK-fc5d96f4337d708153,UKB-7cf584db47950f90d621,CONDCL-25f2633cdb21525c95,ZPC-004826,10.1117/12.634627,SRCENT-9ca189575d9369b112,source_local_unresolved,,camphorquinone,camphorquinone,204,218,source_local_PI_label_pattern,accepted_source_local_identity_link,single_source_only,identity_unresolved,source_local_identity_link_accepted,CC12CCC(C(=O)C1=O)C2(C)C,VNQXSTWCDUXYEZ-UHFFFAOYSA-N,C10H14O2,A_text_crosschecked,independent_database_crosschecked_source_text_identity,source_text_plus_pubchem
