entity_id,paper_id,doi,source_label,candidate_channel,structure_candidate_id,page_number,raw_recognized_smiles,canonical_smiles,inchikey,fragment_count,contains_wildcard,rdkit_parse_ok,recognition_confidence,pairing_status,expected_text_inchikey,expected_fragment_match_count,expected_matching_fragment_smiles,other_fragment_smiles,source_location,molecule_crop_path,rendered_page_path
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered260,PANELSTR-bab02a92e450f0a073,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.911892,unique_panel_pair,,0,,,"PDF page 3; structure bbox (779, 2343, 1005, 2455); label bbox (807, 2418, 832, 2449)",outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered260,PANELSTR-3103b6f677debf7952,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.911892,unique_panel_pair,,0,,,"PDF page 3; structure bbox (779, 2343, 1005, 2455); label bbox (895, 2448, 906, 2464)",outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered260,PANELSTR-773155b7911b5ac27a,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,IDKSJBHDNRPNTC-UHFFFAOYSA-N,120,false,true,0.441361,ambiguous_panel_pair,,0,,,"PDF page 4; structure bbox (668, 1090, 988, 1222); label bbox (607, 1207, 615, 1216)",outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\structure_crops\ZPC-004234\page_0004_structure_012.png,outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\source_pages\ZPC-004234\page_0004.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered260,PANELSTR-9a44a7dcae64df19ed,4,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C,IDKSJBHDNRPNTC-UHFFFAOYSA-N,120,false,true,0.441361,unique_panel_pair,,0,,,"PDF page 4; structure bbox (668, 1090, 988, 1222); label bbox (967, 1207, 975, 1216)",outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\structure_crops\ZPC-004234\page_0004_structure_012.png,outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\source_pages\ZPC-004234\page_0004.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered260,PANELSTR-e10cb7643994946f0c,4,CC1C2(C)CC34(C)CC(C)C3(C)C(C)C(C)C4(C)C12C.CC1CC(C)C(C)C1.CC1CC23(C)C(C(C)C(C)C1C)C14(C)CC(C)C(C)C(C)C215C1(C)C(C)C(C)CC52(C)C1(C)C342,,,0,false,false,0.0,unique_panel_pair,,0,,,"PDF page 4; structure bbox (306, 1281, 626, 1416); label bbox (665, 1342, 674, 1351)",outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\structure_crops\ZPC-004234\page_0004_structure_019.png,outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\source_pages\ZPC-004234\page_0004.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered260,PANELSTR-7a4611cfed77149b59,4,CC1C2(C)CC34(C)CC(C)C3(C)C(C)C(C)C4(C)C12C.CC1CC(C)C(C)C1.CC1CC23(C)C(C(C)C(C)C1C)C14(C)CC(C)C(C)C(C)C215C1(C)C(C)C(C)CC52(C)C1(C)C342,,,0,false,false,0.0,unique_panel_pair,,0,,,"PDF page 4; structure bbox (306, 1281, 626, 1416); label bbox (717, 1324, 741, 1347)",outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\structure_crops\ZPC-004234\page_0004_structure_019.png,outputs\literature_kb_numbered_structure_refinement_dpi260_20260906\source_pages\ZPC-004234\page_0004.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered400,PANELSTR-4e1efa434c6f49d0e8,3,CCN(CC)c1ccc(C=O)c(O)c1,CCN(CC)c1ccc(C=O)c(O)c1,XFVZSRRZZNLWBW-UHFFFAOYSA-N,1,false,true,0.919466,one_structure_matches_multiple_registered_labels,,0,,,"PDF page 3; structure bbox (260, 3592, 539, 3768); label bbox (557, 3691, 578, 3714)",outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\structure_crops\ZPC-004234\page_0003_structure_001.png,outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered400,PANELSTR-0efc5fa9ba1eab3cc5,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.917309,unique_panel_pair,,0,,,"PDF page 3; structure bbox (1200, 3604, 1547, 3776); label bbox (1243, 3721, 1281, 3769)",outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\structure_crops\ZPC-004234\page_0003_structure_003.png,outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered400,PANELSTR-27651035e7b9a2db71,3,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,CCN(CC)c1ccc2cc(C=O)c(=O)oc2c1,HWQSZPUCHJKWLS-UHFFFAOYSA-N,1,false,true,0.917309,unique_panel_pair,,0,,,"PDF page 3; structure bbox (1200, 3604, 1547, 3776); label bbox (1378, 3766, 1394, 3791)",outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\structure_crops\ZPC-004234\page_0003_structure_003.png,outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\source_pages\ZPC-004234\page_0003.png
SRCENT-8eb025687c20e53dbe,ZPC-004234,10.1002/cptc.202000146,compound 2,numbered400,PANELSTR-02b3d2438685ce01cf,3,CCN(CC)c1ccc2cc(/C=N/O)c(=O)oc2c1,CCN(CC)c1ccc2cc(/C=N/O)c(=O)oc2c1,NAGJAUCLWVEUFI-OQLLNIDSSA-N,1,false,true,0.908161,unique_panel_pair,,0,,,"PDF page 3; structure bbox (439, 3852, 835, 4027); label bbox (484, 3972, 523, 4019)",outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\structure_crops\ZPC-004234\page_0003_structure_004.png,outputs\literature_kb_numbered_structure_refinement_dpi400_20260906\source_pages\ZPC-004234\page_0003.png
