formulation_cluster_id,cluster_id,paper_id,doi,source_lane,page_hint,field_groups,field_values_json,molecule_ids,source_local_entity_ids,preferred_names,entity_count,structure_backed_entity_count,identity_resolution,formulation_status,relative_core_signal,comsol_requirement_count,comsol_missing_requirements,strict_use_status,existing_condition_ids,crosschecked_source_local_entity_ids,crosschecked_source_local_inchikeys,identity_enrichment_status,accepted_source_local_entity_ids_v5,accepted_source_local_inchikeys_v5,accepted_source_local_entity_ids_v6,accepted_source_local_inchikeys_v6,accepted_source_local_entity_ids_v7,accepted_source_local_inchikeys_v7,accepted_source_local_entity_ids_v8,accepted_source_local_inchikeys_v8,accepted_source_local_entity_ids_v9,accepted_source_local_inchikeys_v9,accepted_source_local_entity_ids_v11,accepted_source_local_inchikeys_v11
FORM-5bd9127a0db5410429,CONDCL-4cba505c92221ee223,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,10,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-1e6bbf9b1e3c,,,,,,,,,,,,,,,
FORM-9c962b6738891a8e24,CONDCL-26c633c347ead67f3b,ZPC-002898,10.1002/adfm.201203880,core_two_photon,10,objective_NA,"{""objective_NA"": [{""normalized"": ""1.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""1.4"", ""raw_unit"": """"}, {""normalized"": ""0.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""0.4"", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-bd72a9e2283b7820da,CONDCL-a61786e195455cdb99,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,11,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-12f9616f2d4c,,,,,,,,,,,,,,,
FORM-eba77819ebe4a83b78,CONDCL-274c246af20d5be4fc,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,2,pi_loading,"{""pi_loading"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-26ac250b63b2,,,,,,,,,,,,,,,
FORM-8a4fc56207953be3bb,CONDCL-1949cdaf889f3df2e0,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,3,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-49816a83ee9b,,,,,,,,,,,,,,,
FORM-0f2ce2334b891c40ae,CONDCL-39705e1c05a9c030c7,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,3,voxel_or_line_geometry,"{""voxel_or_line_geometry"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,atmosphere;focusing;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-3420e680c2ab,,,,,,,,,,,,,,,
FORM-b3b805f793d81fc308,CONDCL-fa2669f90e9cf40ae7,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,3,voxel_or_line_geometry,"{""voxel_or_line_geometry"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,atmosphere;focusing;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-6fe5432630c9,,,,,,,,,,,,,,,
FORM-9b71f08eea35e9475c,CONDCL-fd354749873e6b35ec,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,3,sigma_2pa,"{""sigma_2pa"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-ecc7ad725388,,,,,,,,,,,,,,,
FORM-59525961c8986878eb,CONDCL-2404f2b6326df178ee,ZPC-002898,10.1002/adfm.201203880,core_two_photon,3,objective_NA,"{""objective_NA"": [{""normalized"": ""1.4"", ""normalized_unit"": ""dimensionless"", ""raw"": ""1.4"", ""raw_unit"": """"}]}",,,,0,0,no_molecular_identity_detected,single_field_context_only,false,1,atmosphere;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,,,,,,,,,,,,,,,,
FORM-6bb59daae1d9acf06a,CONDCL-3f14fe8f56f2febf1b,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,4,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",MOL-63120fab18fb,,Irgacure 369,1,0,contains_existing_name_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-28f36b0ad07d,,,,,,,,,,,,,,,
FORM-513b10dcb196f2577e,CONDCL-54572d36800664e063,zotero_4UUBRRGP,10.1002/adfm.201203880,core_two_photon,4,polymerization_threshold,"{""polymerization_threshold"": [{""normalized"": """", ""normalized_unit"": """", ""raw"": """", ""raw_unit"": """"}]}",MOL-63120fab18fb,,Irgacure 369,1,0,contains_existing_name_identity_candidate,single_field_identity_linked_context,false,0,atmosphere;focusing;geometry;motion_or_dwell;power_plane;pulse_width;repetition_rate;wavelength,automatic_candidate_not_accepted_for_model_or_COMSOL,COND-a711827a22f2,,,,,,,,,,,,,,,
