alias_id,molecule_id,preferred_name,alias,normalized_alias,match_scope,source_dois,source_ids,molecule_role,identity_status,identity_scope,smiles,stored_inchikey,computed_inchikey,structure_validation,case_sensitive,alias_status
ALIAS-bd1577e2c893048d94,MOL-b8332041eb8f,M3P+,M3P+,m3p,source_scoped,10.1021/ma9007785,ZPC-000028,photoinitiator_or_photosensitizer,structured_pi_label,source_scoped,,,,not_available,true,eligible_exact_alias
ALIAS-bdbba554a14b0d4dab,MOL-bb7a6d262ef6,FL,FL,fl,source_scoped,10.1016/j.eurpolymj.2024.113176;10.1016/j.jphotochem.2009.02.007;10.1016/s1010-6030(03)00394-0,zotero_3TYUTA6K; zotero_5TV7FKVK; zotero_MZLGYQTP,sensitizer_or_component,anchor_mined,global_name_key,,,,not_available,true,eligible_exact_alias
ALIAS-beb50cbd04e1b5a17d,MOL-bc82999a6853,diethyl ether,diethyl ether,diethylether,global_exact_name,10.1021/la803803m,zotero_H86SV53N,solvent,formulation_identity,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-6e08f869e19bab0d3d,MOL-befdca1c85a7,2-isopropyl-7-phenyl-9H-thioxanthen-9-one,2-isopropyl-7-phenyl-9H-thioxanthen-9-one,2isopropyl7phenyl9hthioxanthen9one,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CC(C)c1ccc2sc3ccc(-c4ccccc4)cc3c(=O)c2c1,DCURMHFDTUKOQA-UHFFFAOYSA-N,DCURMHFDTUKOQA-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-2858b383488f6b06f4,MOL-befdca1c85a7,2-isopropyl-7-phenyl-9H-thioxanthen-9-one,ITX-phenyl,itxphenyl,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CC(C)c1ccc2sc3ccc(-c4ccccc4)cc3c(=O)c2c1,DCURMHFDTUKOQA-UHFFFAOYSA-N,DCURMHFDTUKOQA-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-c783d3195977dcc86d,MOL-c03524c1b398,2-(4-fluorophenyl)-7-isopropyl-9H-thioxanthen-9-one,2-(4-fluorophenyl)-7-isopropyl-9H-thioxanthen-9-one,24fluorophenyl7isopropyl9hthioxanthen9one,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CC(C)c1ccc2sc3ccc(-c4ccc(F)cc4)cc3c(=O)c2c1,CBDJKJFGKZUGQO-UHFFFAOYSA-N,CBDJKJFGKZUGQO-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-e8603d0acb5255139e,MOL-c03524c1b398,2-(4-fluorophenyl)-7-isopropyl-9H-thioxanthen-9-one,ITX-phenyl-F,itxphenylf,global_exact_name,10.1021/acsapm.0c01291,ZPC-000605,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CC(C)c1ccc2sc3ccc(-c4ccc(F)cc4)cc3c(=O)c2c1,CBDJKJFGKZUGQO-UHFFFAOYSA-N,CBDJKJFGKZUGQO-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-476900067a046cd0f8,MOL-c123af975c8b,M2CMK,M2CMK,m2cmk,source_scoped,10.1038/s41598-018-35301-x,OA2P-000226,photoinitiator_or_photosensitizer,structured_pi_label,source_scoped,,,,not_available,false,eligible_exact_alias
ALIAS-fa51699ba26bc1a1ed,MOL-c420d96562b1,3BTrz,3BTrz,3btrz,global_exact_name,10.1038/s41598-018-35301-x,OA2P-000226,photoinitiator_or_photosensitizer,structured_pi_label,global_name_key,,,,not_available,false,eligible_exact_alias
ALIAS-b4a6fd96db1dba8ecd,MOL-c4f6fed543ae,M3P,M3P,m3p,source_scoped,10.1021/ma9007785,ZPC-000028; zotero_XAY2YYCX,photoinitiator_or_photosensitizer,structured_pi_label,source_scoped,,,,not_available,true,eligible_exact_alias
ALIAS-57378840be8b8f5f45,MOL-c71bf0ae480a,B3K,B3K,b3k,source_scoped,10.1021/ma9007785,ZPC-000028; zotero_XAY2YYCX,photoinitiator_or_photosensitizer,structured_pi_label,source_scoped,,,,not_available,true,eligible_exact_alias
ALIAS-c5765b24dda37f8e1b,MOL-ca4ef42111bb,V-Shape (paper-defined two-branched oligo(phenyleneethynylene) PI),V-Shape (paper-defined two-branched oligo(phenyleneethynylene) PI),vshapepaperdefinedtwobranchedoligophenyleneethynylenepi,global_exact_name,10.1021/acs.macromol.0c01518,ZPC-004425; zotero_SRU6DZHE,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#Cc3cc(Br)cc(C#Cc4ccc(C#Cc5ccc(N(CCCCCC)CCCCCC)cc5)cc4)c3)cc2)cc1,BMTDQZRUAQVCMM-UHFFFAOYSA-N,BMTDQZRUAQVCMM-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-666bfdbb4c5377180e,MOL-ca4ef42111bb,V-Shape (paper-defined two-branched oligo(phenyleneethynylene) PI),V-Shape,vshape,global_exact_name,10.1021/acs.macromol.0c01518,ZPC-004425; zotero_SRU6DZHE,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#Cc3cc(Br)cc(C#Cc4ccc(C#Cc5ccc(N(CCCCCC)CCCCCC)cc5)cc4)c3)cc2)cc1,BMTDQZRUAQVCMM-UHFFFAOYSA-N,BMTDQZRUAQVCMM-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
ALIAS-fe2894e352728b4a21,MOL-cac56d384c4a,Oct (paper-defined three-branched oligo(phenyleneethynylene) PI),Oct (paper-defined three-branched oligo(phenyleneethynylene) PI),octpaperdefinedthreebranchedoligophenyleneethynylenepi,global_exact_name,10.1021/acs.macromol.0c01518,ZPC-004425; zotero_SRU6DZHE,photoinitiator_or_photosensitizer,structure_linked,global_name_key,CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#Cc3cc(C#Cc4ccc(C#Cc5ccc(N(CCCCCC)CCCCCC)cc5)cc4)cc(C#Cc4ccc(C#Cc5ccc(N(CCCCCC)CCCCCC)cc5)cc4)c3)cc2)cc1,CEUACSVYVMTHLZ-UHFFFAOYSA-N,CEUACSVYVMTHLZ-UHFFFAOYSA-N,rdkit_sanitized,false,eligible_exact_alias
